image,datatype,memProportion,numIpus,time
bricks,half,0.1,1,0.00060595
bricks,half,0.1,2,0.001122
bricks,float,0.1,1,0.0016749
bricks,float,0.1,2,0.0017327
bricks,half,0.2,1,0.00060595
bricks,half,0.2,2,0.0011213
bricks,float,0.2,1,0.0016749
bricks,float,0.2,2,0.0017329
bricks,half,0.3,1,0.00060595
bricks,half,0.3,2,0.0011218
bricks,float,0.3,1,0.0016749
bricks,float,0.3,2,0.0017327
bricks,half,0.4,1,0.00060595
bricks,half,0.4,2,0.0011219
bricks,float,0.4,1,0.0016749
bricks,float,0.4,2,0.0017323
bricks,half,0.5,1,0.00060595
bricks,half,0.5,2,0.0011221
bricks,float,0.5,1,0.0016749
bricks,float,0.5,2,0.0017327
bricks,half,0.6,1,0.00060595
bricks,half,0.6,2,0.0011214
bricks,float,0.6,1,0.0016749
bricks,float,0.6,2,0.0017326
bricks,half,0.7,1,0.00060595
bricks,half,0.7,2,0.0011216
bricks,float,0.7,1,0.0016749
bricks,float,0.7,2,0.0017327
bricks,half,0.8,1,0.00060595
bricks,half,0.8,2,0.0011214
bricks,float,0.8,1,0.0016749
bricks,float,0.8,2,0.0017326
bricks,half,0.9,1,0.00060595
bricks,half,0.9,2,0.0011218
bricks,float,0.9,1,0.0016749
bricks,float,0.9,2,0.0017327
leaf,half,0.1,1,0.045276
leaf,half,0.1,2,0.0014018
leaf,float,0.1,1,0.060271
leaf,float,0.1,2,0.0037212
leaf,half,0.2,1,0.0016564
leaf,half,0.2,2,0.0014018
leaf,float,0.2,1,0.0063728
leaf,float,0.2,2,0.0037324
leaf,half,0.3,1,0.0016564
leaf,half,0.3,2,0.0014022
leaf,float,0.3,1,0.0063728
leaf,float,0.3,2,0.0037336
leaf,half,0.4,1,0.0016564
leaf,half,0.4,2,0.001402
leaf,float,0.4,1,0.0063728
leaf,float,0.4,2,0.0037325
leaf,half,0.5,1,0.0016564
leaf,half,0.5,2,0.001402
leaf,float,0.5,1,0.0063728
leaf,float,0.5,2,0.0037334
leaf,half,0.6,1,0.0016564
leaf,half,0.6,2,0.0014018
leaf,float,0.6,1,0.0063728
leaf,float,0.6,2,0.0037325
leaf,half,0.7,1,0.0016564
leaf,half,0.7,2,0.0014019
leaf,float,0.7,1,0.0063728
leaf,float,0.7,2,0.0037221
leaf,half,0.8,1,0.0016564
leaf,half,0.8,2,0.001402
leaf,float,0.8,1,0.0063728
leaf,float,0.8,2,0.0036922
leaf,half,0.9,1,0.0016564
leaf,half,0.9,2,0.0014021
leaf,float,0.9,1,0.0063728
leaf,float,0.9,2,0.0037333
cheese,half,0.1,1,0.14364
cheese,half,0.1,2,0.071006
cheese,float,0.1,1,0.17731
cheese,float,0.1,2,0.09602
cheese,half,0.2,1,0.13709
cheese,half,0.2,2,0.0028676
cheese,float,0.2,1,0.17731
cheese,float,0.2,2,0.094387
cheese,half,0.3,1,0.16151
cheese,half,0.3,2,0.0028834
cheese,float,0.3,1,0.18564
cheese,float,0.3,2,0.010249
cheese,half,0.4,1,0.0044717
cheese,half,0.4,2,0.0028676
cheese,float,0.4,1,0.18564
cheese,float,0.4,2,0.010251
cheese,half,0.5,1,0.0044717
cheese,half,0.5,2,0.002872
cheese,float,0.5,1,N/A
cheese,float,0.5,2,0.010249
cheese,half,0.6,1,0.0044717
cheese,half,0.6,2,0.0028672
cheese,float,0.6,1,N/A
cheese,float,0.6,2,0.010251
cheese,half,0.7,1,0.0044717
cheese,half,0.7,2,0.0028763
cheese,float,0.7,1,N/A
cheese,float,0.7,2,0.010249
cheese,half,0.8,1,0.0044717
cheese,half,0.8,2,0.0028711
cheese,float,0.8,1,N/A
cheese,float,0.8,2,0.010251
