numIpus,dataType,phase,name,cycles
1,half4,sync,sync,64
1,half4,halo,exchange,637
1,half4,halo,globExchange,0
1,half4,halo,pre,5741
1,half4,halo,post,4826
1,half4,compute,compute,63531
1,float2,sync,sync,117
1,float2,halo,exchange,1173
1,float2,halo,globExchange,0
1,float2,halo,pre,8279
1,float2,halo,post,6954
1,float2,compute,compute,100257
1,float,sync,sync,117
1,float,halo,exchange,1173
1,float,halo,globExchange,0
1,float,halo,pre,8279
1,float,halo,post,6954
1,float,compute,compute,210249
16,half4,sync,sync,501
16,half4,halo,globExchange,3043
16,half4,halo,exchange,263
16,half4,halo,pre,1611
16,half4,halo,post,882
16,half4,compute,compute,4446
16,float2,sync,sync,642
16,float2,halo,globExchange,4017
16,float2,halo,exchange,397
16,float2,halo,pre,1897
16,float2,halo,post,954
16,float2,compute,compute,7914
16,float,sync,sync,640
16,float,halo,globExchange,4048
16,float,halo,exchange,397
16,float,halo,pre,1894
16,float,halo,post,954
16,float,compute,compute,13152



