image,datatype,numIpus,time
bricks,half4,1,0.00089927
bricks,half4,2,0.00080469
bricks,half4,4,0.00086488
bricks,half4,8,0.00075796
bricks,half4,16,0.0007492
bricks,float2,1,0.0013971
bricks,float2,2,0.0011953
bricks,float2,4,0.00096287
bricks,float2,8,0.00083011
bricks,float2,16,0.00080146
bricks,float,1,0.0020519
bricks,float,2,0.0016564
bricks,float,4,0.0010732
bricks,float,8,0.00093358
bricks,float,16,0.00087356
leaf,half4,1,0.0037386
leaf,half4,2,0.0026452
leaf,half4,4,0.0020885
leaf,half4,8,0.0017758
leaf,half4,16,0.0013682
leaf,float2,1,0.0058605
leaf,float2,2,0.00372
leaf,float2,4,0.0027157
leaf,float2,8,0.0022284
leaf,float2,16,0.0015007
leaf,float,1,0.011618
leaf,float,2,0.0061957
leaf,float,4,0.0034671
leaf,float,8,0.0027863
leaf,float,16,0.0016476
cheese,half4,1,0.0091998
cheese,half4,2,0.0060623
cheese,half4,4,0.0037477
cheese,half4,8,0.0027422
cheese,half4,16,0.001384
cheese,float2,1,0.014612
cheese,float2,2,0.009032
cheese,float2,4,0.0053058
cheese,float2,8,0.003704
cheese,float2,16,0.0020047
cheese,float,1,0.028361
cheese,float,2,0.016164
cheese,float,4,0.0085488
cheese,float,8,0.0059301
cheese,float,16,0.0026595
