numIpus,width,height,wastedTiles,wastedWorkers,loadBalance,maxSpeedup,aveBlockSize,largestBlockSize,aveTileBlockSize,largestTileBlockSize
1,128,128,26,2816,91.4286,4096,3,4,13,16
1,147,128,0,2432,96.7105,4704,3,4,15,16
1,166,128,16,2176,83,4249.6,4,5,17,25
1,186,128,12,1792,86.5116,4761.6,4,5,19,25
1,205,128,1,1536,91.1111,5248,4,5,21,25
1,224,128,41,1280,95.3191,5734.4,4,5,24,30
1,244,128,40,1024,99.5918,6246.4,4,5,26,30
1,263,128,16,688,84.9072,5610.67,5,6,28,36
1,282,128,20,420,87.4927,6016,5,6,30,36
1,302,128,28,256,91.5152,6442.67,5,6,32,36
1,321,128,40,240,58.2313,4108.8,5,10,34,42
1,340,128,19,114,60.5959,4352,6,10,36,42
1,360,128,36,216,46.4891,3291.43,6,14,39,49
1,379,128,57,342,49.8295,3465.14,6,14,41,49
1,399,128,38,228,51.6129,3648,7,14,43,49
1,418,128,0,0,52.381,3821.71,7,14,44,49
1,437,128,46,276,49.8006,3496,7,16,47,56
1,457,128,28,168,51.2907,3656,8,16,49,56
1,476,128,60,360,54.902,3808,8,16,52,56
1,495,128,43,258,56.266,3960,9,16,54,64
1,515,128,26,156,57.7031,4120,9,16,55,64
1,534,128,64,384,61.8056,4272,9,16,59,64
1,553,128,48,288,63.1279,4424,10,16,60,64
1,573,128,32,192,64.527,4584,10,16,61,64
1,592,128,16,96,65.7778,4736,10,16,63,64
1,612,128,61,366,62.7994,4352,11,18,67,72
1,631,128,46,276,63.919,4487.11,11,18,69,81
1,650,128,31,186,65.0102,4622.22,11,18,70,81
1,670,128,16,96,66.1728,4764.44,11,18,71,81
1,689,128,1,6,67.2093,4899.56,12,18,72,81
1,708,128,54,324,64.9914,4531.2,12,20,77,90
1,728,128,40,240,66.0317,4659.2,13,20,79,90
1,747,128,26,156,66.958,4780.8,13,20,80,90
1,766,128,12,72,67.8627,4902.4,13,20,81,90
1,786,128,85,510,74.1291,5030.4,14,20,88,100
1,805,128,72,432,75.0583,5152,15,20,90,100
1,824,128,59,354,75.9666,5273.6,15,20,91,100
1,844,128,46,276,76.9459,5401.6,15,20,92,100
1,863,128,33,198,77.8135,5523.2,15,20,93,100
1,883,128,20,120,78.7514,5651.2,15,20,94,100
1,902,128,7,42,79.5809,5772.8,15,20,95,100
1,921,128,88,528,79.1747,5358.55,17,22,104,110
1,941,128,76,456,80.0425,5474.91,17,22,105,110
1,960,128,64,384,80.8081,5585.45,17,22,106,110
1,979,128,52,312,81.5578,5696,17,22,107,121
1,999,128,40,240,82.3748,5812.36,18,22,108,121
1,1018,128,28,168,83.0936,5922.91,18,22,109,121
1,1037,128,16,96,83.798,6033.45,18,22,110,121
1,1057,128,4,24,84.5685,6149.82,18,22,111,121
1,1076,128,94,564,92.9941,6260.36,20,22,122,132
1,1096,128,83,498,93.803,6376.73,20,22,123,132
1,1115,128,83,498,95.4291,6487.27,20,22,125,132
1,1134,128,72,432,96.1221,6597.82,21,22,126,132
1,1154,128,61,366,96.8857,6714.18,21,22,127,132
1,1173,128,50,300,89.4225,6256,21,24,128,144
1,1192,128,39,234,90.0217,6357.33,21,24,129,144
1,1212,128,28,168,90.6846,6464,21,24,130,144
1,1231,128,17,102,91.2612,6565.33,21,24,131,144
1,1250,128,17,102,92.6698,6666.67,22,24,133,144
1,1270,128,6,36,93.2966,6773.33,22,24,134,144
1,1289,128,106,636,75.0714,4999.76,24,33,148,156
1,1308,128,96,576,75.4978,5073.45,24,33,149,156
1,1328,128,86,516,75.9739,5151.03,25,33,150,156
1,1347,128,76,456,76.3849,5224.73,25,33,151,156
1,1367,128,76,456,77.5191,5302.3,25,33,153,156
1,1386,128,66,396,65.9264,4548.92,25,39,154,169
1,1405,128,56,336,66.2541,4611.28,25,39,155,169
1,1425,128,46,276,66.6228,4676.92,25,39,155,169
1,1444,128,36,216,66.939,4739.28,26,39,156,169
1,1463,128,36,216,67.8198,4801.64,26,39,158,169
1,1483,128,26,156,68.1692,4867.28,26,39,159,169
1,1502,128,16,96,68.4672,4929.64,26,39,160,169
1,1521,128,6,36,68.7603,4992,26,39,160,169
1,1541,128,6,36,69.6645,5057.64,27,39,163,169
1,1560,128,118,708,67.3548,4437.33,30,45,181,195
1,1579,128,109,654,67.6209,4491.38,30,45,182,195
1,1599,128,100,600,67.9251,4548.27,30,45,183,195
1,1618,128,100,600,68.7322,4602.31,30,45,185,210
1,1638,128,91,546,69.0252,4659.2,31,45,186,210
1,1657,128,82,492,69.2717,4713.24,31,45,187,210
1,1676,128,73,438,69.5143,4767.29,31,45,187,210
1,1696,128,73,438,70.3438,4824.18,31,45,189,210
1,1715,128,64,384,70.5761,4878.22,31,45,190,210
1,1734,128,55,330,70.8049,4932.27,31,45,191,210
1,1754,128,46,276,71.0706,4989.16,31,45,191,210
1,1773,128,46,276,71.8405,5043.2,32,45,193,210
1,1792,128,37,222,72.056,5097.24,32,45,194,210
1,1812,128,28,168,72.3083,5154.13,32,45,195,210
1,1831,128,28,168,73.0665,5208.18,32,45,197,210
1,1851,128,19,114,73.3092,5265.07,32,45,197,210
1,1870,128,10,60,73.509,5319.11,33,45,198,210
1,1889,128,10,60,74.2559,5373.16,33,45,200,225
1,1909,128,1,6,74.4862,5430.04,33,45,201,225
1,1928,128,128,768,78.7582,5141.33,37,48,226,240
1,1947,128,120,720,78.9538,5192,37,48,227,240
1,1967,128,120,720,79.7648,5245.33,38,48,229,240
1,1986,128,112,672,79.9517,5296,38,48,230,240
1,2005,128,104,624,80.1359,5346.67,38,48,230,240
1,2025,128,104,624,80.9353,5400,38,48,233,240
1,2044,128,96,576,81.1111,5450.67,38,48,233,240
1,2063,128,96,576,81.8651,5501.33,39,48,235,240
1,2083,128,88,528,82.0725,5554.67,39,48,236,240
1,2102,128,80,480,82.2379,5605.33,39,48,236,240
1,2122,128,80,480,83.0203,5658.67,39,48,239,240
1,2141,128,72,432,83.1779,5709.33,39,48,239,240
1,2160,128,64,384,83.3333,5760,40,48,240,240
1,2180,128,64,384,84.1049,5813.33,40,48,242,256
1,2199,128,56,336,84.2529,5864,40,48,242,256
1,2218,128,48,288,84.3988,5914.67,40,48,243,256
1,2238,128,48,288,85.1598,5968,40,48,245,256
1,2257,128,40,240,85.2986,6018.67,40,48,245,256
1,2276,128,32,192,85.4354,6069.33,41,48,246,256
1,2296,128,32,192,86.1862,6122.67,41,48,248,256
1,2315,128,24,144,86.3162,6173.33,41,48,248,256
1,2335,128,24,144,87.0619,6226.67,41,48,250,256
1,2354,128,16,96,87.1852,6277.33,41,48,251,256
1,2373,128,8,48,87.3068,6328,41,48,251,256
1,2393,128,8,48,88.0427,6381.33,42,48,253,256
1,2412,128,0,0,88.1579,6432,42,48,253,256
