numIpus,width,height,wastedTiles,wastedWorkers,loadBalance,maxSpeedup,aveBlockSize,largestBlockSize,aveTileBlockSize,largestTileBlockSize
1,567,14039,0,0,96.0409,7007.14,1091,1136,6546,6603
1,5789,1804,19,114,95.6646,6870.63,1454,1520,8724,8740
1,6822,267,154,924,90.7479,5782.46,285,315,1715,1755
1,15161,189,277,1662,89.6994,5053.67,508,567,3051,3087
1,10328,240,71,426,98.0444,6735.65,360,368,2164,2208
1,302,4339,6,36,85.949,6239.9,180,210,1082,1116
1,2592,2449,28,168,98.9495,7053.12,890,900,5343,5400
1,1009,8150,7,42,98.1498,7119.78,1133,1155,6801,6864
1,332,13525,4,24,91.8866,6681.99,617,672,3704,3752
1,519,17942,4,24,95.9187,6975.2,1280,1335,7683,7743
1,5430,1644,0,0,93.7576,6840.55,1223,1305,7341,7395
1,6678,945,7,42,94.2538,6837.17,869,923,5219,5256
1,4596,2168,43,258,93.1422,6555.35,1415,1520,8494,8645
1,2184,2332,26,156,91.451,6529.6,713,780,4279,4355
1,6912,538,91,546,93.3749,6302.81,550,590,3305,3360
1,1976,4223,16,96,93.0907,6702.53,1158,1245,6953,7055
1,3895,1111,28,168,93.5425,6667.71,607,649,3642,3720
1,10631,1351,40,240,94.8067,6689.56,2035,2147,12212,12317
1,4511,538,4,24,92.7041,6741.44,333,360,2002,2025
1,10284,330,46,276,91.2143,6403.25,483,530,2900,2915
1,1586,2652,1,6,97.7906,7128.94,576,590,3461,3481
1,381,17249,4,24,94.1377,6845.7,903,960,5422,5504
1,1919,4612,20,120,98.9837,7103.07,1233,1246,7400,7476
1,1025,8270,7,42,93.7851,6803.17,1168,1246,7011,7031
1,3831,1096,28,168,90.7633,6469.61,589,649,3534,3599
1,958,6928,7,42,93.8407,6807.2,914,975,5489,5550
1,627,1587,6,36,94.5235,6862.41,137,145,822,841
1,5632,520,66,396,90.6924,6257.78,424,468,2546,2548
1,6761,2093,19,114,96.9164,6960.54,1970,2033,11821,11988
1,139,10096,1,6,93.9037,6845.58,192,205,1155,1176
1,18703,597,40,240,97.9839,6913.74,1582,1615,9494,9600
1,2792,1391,16,96,92.9998,6695.99,539,580,3236,3248
1,3094,298,86,516,93.7862,6358.7,135,145,815,840
1,3238,1825,41,246,93.4454,6587.9,838,897,5029,5037
1,16678,212,286,1716,99.1619,5533.23,633,639,3801,3834
1,4517,792,40,240,95.6623,6749.93,507,530,3042,3078
1,1154,223,16,96,79.4265,5718.71,35,45,214,225
1,307,8323,5,30,88.803,6452.43,351,396,2109,2156
1,2605,2558,28,168,93.3913,6656.93,934,1001,5609,5694
1,2544,2844,28,168,94.1587,6711.63,1015,1078,6090,6162
